title,content
What Jobs Can You Get After a Coding Bootcamp? Part 2: Cloud Administration,"Have you been considering a career in Cloud Administration, but have no idea what your job title or potential salary could be? Continue reading below to find out!
In this mini-series, we will take each of our programs here at Codeup: Data Science, Web Development, and Cloud Administration, and outline respectively potential job titles, as well as entry-level salaries.* Let’s discuss Cloud Administration.
Program Overview
At Codeup, we offer a 15-week Cloud Administration program, which was derived from our previous two programs: Systems Engineering and Cyber Cloud. We combined the best of both and blended hands-on practical knowledge with skilled instructors to create the Cloud Administration program.
Upon completing this program, you’ll have the opportunity to take on two exams for certifications: Amazon Web Services (AWS) Cloud Practitioner and AWS Solutions Architect Associate. 
Potential Jobs
According to A Cloud Guru, with an AWS Certification you’ll be equipped with the knowledge and experience to secure a job as the following:
1. Cloud Architect
As a Cloud Architect, you will double as an IT specialist responsible for your organization’s cloud infrastructure. This includes system monitoring, computing strategy, planning, building and deployment. An entry-level Cloud Architect can make an estimated $93,892 annually according to Glassdoor. 
2. Cloud Developer
A Cloud Developer’s main duties align with a software developer’s. The differentiating factor is a Cloud Developer operates virtually with cloud computing technology. This may include the design, analysis and maintenance of a company’s cloud infrastructure. An entry-level Cloud Developer can make an estimated $89,652 annually according to Glassdoor. 
3. Cloud Systems Administrator
A Cloud Systems Administrator can be expected to provide insight on cloud systems, specifically working with IT to provide assistance and resolve operational issues. An entry-level Cloud Systems Administrator can make an estimated $64,805 annually according to Glassdoor.
Honorable Mention
A few additional roles to consider with AWS Certification include: 

Cloud DevOps Engineer- Estimated Entry-Level Salary $88,563
Cloud Security Engineer- Estimated Entry-Level Salary $85,111
Cloud Data Architect- Estimated Entry-Level Salary $91,598
Cloud Consultant- Estimated Entry-Level Salary $72,474

Interested in the other parts of this mini-series? Check them out below!

Part 1: Data Science
Part 3: Web Development (Coming Soon!) 

*Disclaimer: All information presented in this article is by no means guaranteed by completing a Codeup program. Salaries and duties vary based on factors such as company, location, and experience. These salaries are estimates based on San Antonio, TX data, and these duties are general and may not be exact for every position."
What Jobs Can You Get After a Coding Bootcamp? Part 1: Data Science,"If you are interested in embarking on a career in tech, you’re probably wondering what your new job title could be, and even what your salary might look like.* In this mini-series, we will take each of our programs here at Codeup: Data Science, Web Development, and Cloud Administration, and outline respectively potential job titles, as well as entry-level salaries. Today we will be diving into our Data Science program, with four potential job titles you could take on!
Program Overview 
During this 20-week program, you will have the opportunity to take your career to new heights with data science being one of the most needed jobs in tech. You’ll gather data, then clean it, explore it for trends, and apply machine learning models to make predictions.
Upon completing this program, you will know how to turn insights into actionable recommendations. You’ll be a huge asset to any company, having all the technical skills to become a data scientist with projects upon projects of experience under your belt. 
1. Data Scientist 
Essentially, a Data Scientist is responsible for analyzing how a business performs to ensure the business stays competitive and relevant. They review the data for deeper meaning and examine it for patterns in an effort to create solutions to business problems. According to Zip Recruiter, the average entry-level salary for a Data Scientist in Texas is $60,677.
2. Data Analyst
A Data Analyst finds ways to solve a business’ problems through raw data analysis. They are then responsible for sharing this information with management and stakeholders. According to Indeed, the average entry-level salary for a Data Analyst is $60,332.
3. Machine Learning Engineer 
A Machine Learning (ML) Engineer is usually on a Data Science team. They are responsible for artificial intelligence, and its functions as well as making predictions on other machine learning capabilities. They will create ML prototypes and models, then test and retrain where necessary. According to Salary.com, the average entry-level salary for a ML Engineer is $115,795.
4. Business Intelligence Analyst 
A Business Intelligence Analyst, also known as a BI Analyst is responsible for understanding computer programming languages. Their primary goal is to give accurate insight to decision-makers regarding the market, productivity, competition, and customer responses. According to Payscale, the average entry-level salary for a BI Analyst is $58,627.
We understand changing careers can be scary. If you chose Codeup, we will make sure you are plenty prepared to not only take on one of these roles but succeed in it. 
This program gives you more than a textbook and a bank of pre-recorded lectures. You get hands-on instruction from industry experts, along with the power to change your life. 
If you’re ready, apply today and let’s turn your dreams into reality and get your seat secured in our next Data Science cohort. 
 
*Disclaimer: All information presented in this article is by no means guaranteed by completing a Codeup program. Salaries and duties vary based on factors such as company, location, and experience. These salaries are estimates based on San Antonio, TX data, and these duties are general and may not be exact for every position."
Is Our Cloud Administration Program Right for You?,"Changing careers can be scary. The first thing you may be asking yourself is, “where do I begin?” If you are looking into a career in tech, but coding or statistics aren’t your thing, our brand new Cloud Administration program might be just for you!
What Exactly is Cloud Administration?
The future is in the cloud! As the new way of doing business, all kinds of companies need to build or interact with cloud products. These aren’t just high-tech solutions – they’re the core of everyday products like cloud-based gaming from Xbox, collaborative work tools from Google Drive, and even music streaming services from Spotify! A Cloud Administrator works with software developers to design, build, maintain, and optimize a cloud architecture to run software applications.
What Will You Learn?
Just like our Data Science and Web Development programs, the Cloud Administration program is considered a career accelerator. Unlike a traditional 4 year degree, you can complete our program in just 15 weeks! You will receive hands-on training in:

Networking fundamentals
Linux Operating System
Windows Operating System
Cloud and Computer Security
Amazon Web Services (AWS Cloud)

You’ll even earn two industry-recognized certifications as an AWS Cloud Practitioner and AWS Solutions Architect Associate, fully included in your tuition. You’ll learn how each technology works together, and how they are applied to real projects by starting simple, then progressively getting more complex as you add more tools to your toolbox. We’ll teach you to build infrastructure that enables software and data science products, manage cloud deployments, and optimize for cloud performance. 
As for instruction, we are dedicated to giving you the best. Your instructors are speaking from real industry experience, and are invested in every student’s success. They’re essentially your personal mentors providing on-the-ground support, making themselves accessible to you when you need them. 
Your Success
Not only will you be equipped with in-demand cloud skills, but you’ll also get professional development along the way, including help polishing your resume and LinkedIn, as well as access to our employer network. This program, with the support of our career coaches and placement team, can help you become a: 

Cloud Administrator
Cloud Architect
Cloud Engineer
Cloud Network Engineer
Cloud Security Engineer 

You’re not stuck in one lane when you come to Codeup. With our instructors, coaches, and placement team you can take what you learn and run with it. Cloud technology is improving every single day and this course can ensure you are at the forefront of helping build and maintain that technology. 
Codeup Payment Options
Financing your career transition can be a bit stressful, but we never want it to stop you from changing your career and applying. We have a dedicated Financial Aid and Enrollment team to walk you through every possible option to pay for your tuition here at Codeup. Whether you are using your VA benefits, grants, loans, scholarships, or self-paying, our team will work with you to ensure you receive all forms of financial aid for which you qualify. You can change your career regardless of your financial situation.
Want more information on our Cloud Administration program? Check our student reviews, and our blog on 5 Reasons We Think You Should Attend the Cloud Administration program. You can do more than dream of this life-changing career – you can LIVE IT!. Our application process is the first step to beginning your journey in Cloud Administration today!"
5 Reasons To Attend Our New Cloud Administration Program,"Come Work In The Cloud
When your Monday rolls around, do you start to get a sense of dread? That might be a sign to break up with your current job and learn something new. At Codeup, we don’t want you to keep your head in the clouds while working a job you can’t stand. You should learn all about the cloud and cloud technology! As we charge forward into 2022, we recently announced our brand new Cloud Administration Program. 
This is a 15-week career accelerator that gets you hands-on experience with:

Networking
Linux Operating System 
Windows Operating System 
Security 
Amazon Web Services (AWS) Cloud Technology

You’ll earn two industry-recognized certifications as an AWS Cloud Practitioner and AWS Solutions Architect Associate. Both are included as part of your tuition. You will learn how to build infrastructure that enables software and data science products, manage cloud deployments, and optimize for cloud performance. 
Here are 5 reasons why we think you should attend our Cloud Administration program: 
 
1.) The Campus 
Located on Rackspace property, our Castle campus has everything you need. Tabletop games to play with classmates on break? We got foosball and ping pong! Need a drink to quench your thirst? We have complimentary soda, water, and tea. 
There is also lots of seating across the campus for you to study, have lunch, or even meet with classmates. 
Parking is free since we are located on Rackspace’s property. You have the option to park about 100 ft away from our building, or you can park on the underground level to save your car from the heat if you attend during the summer months. 
There is also plenty of food options within driving distance of campus. Fast food options include Mcdonald’s, Panda Express, and Bill Miller’s BBQ. For more sit-down restaurant options, you can visit Applebee’s, Buffalo Wild Wings, or Olive Garden. If you want to bring your lunch we have microwaves and refrigerators to enjoy your lunch on campus. 
 
2.) Time and Money Spent 
In just 15 weeks you will be on your way to a new career that’s in high demand! That means you won’t have to wait 2 – 4 years like other traditional degree plans to get started in your new career. 
Is the cost of our program a concern? We totally understand if it is. Our Cloud Administration program is also the most affordable option of our three programs at Codeup if you’re looking to save the most money. It’s also more affordable than a traditional degree. 
At Codeup we have a dedicated team of Financial Aid and Enrollment managers who will work with you one on one to ensure you have everything you need to pay for your time at Codeup that makes sense for your individual situation. 
We have grants, scholarships, and student loans for those who qualify. If you’re a Veteran or a dependant of a Veteran you might have GI Bill benefits for use at Codeup. We just launched an exclusive scholarship with Climb Credit that you can apply for here. 
Lastly, you can always go through your own financial institution to see what options are available to pay for Codeup. 
Check out a walkthrough of our financial aid options here. 
 
3.) Salary & Benefits 
Almost everyone changing careers during the “Great Resignation” is doing it for better pay and better benefits. 
What if I told you that any career you obtain through our Cloud Administration program offered you both a better salary and better benefits? 
According to Indeed.com the average salary for a Cloud Engineer right now is $118,712 in Texas (which is similar to the National average). This mirrors a Glassdoor Median Base salary of $118,999. Glassdoor also notes a job satisfaction rating of 4 out of 5 and over 10K open roles under the title Cloud Engineer. 
Are you guaranteed a salary like that after graduation? Not necessarily since this was an average salary. However, what that means is you have the potential to get to that level of salary at some point in your new career.
Your new skill sets could land you at a larger company like Accenture, EY, or even USAA. On the other hand, you could end up at a small company like a startup or SaaS (software as a service) company. 
Both of those options will typically give you things like a great health care plan, generous amounts of time off, and additional perks like continuing education and gym discounts. Startups might be a little more unique in their offerings like remote work options, paying for new office equipment, and even potentially paying for an annual company retreat if the company works remotely. 
 
4.) Job Security
According to IT senior managers in a recent Robert Half survey, cloud expertise is the topmost in-demand skill set. This means cloud experts are in high demand and will continue to be as more companies adopt cloud infrastructures. The curriculum you go through in this program won’t stick you to just one lane. Coming out of the Cloud Administration program you could land a job as a: 

Cloud Engineer
Cloud Network Engineer 
Cloud Security Engineer 
Cloud Architect 
Cloud Administrator 

Having this many career options to choose from makes you a valuable and in-demand candidate for any tech company big or small. At Codeup, we have an employer-influenced curriculum. So once you graduate, you are equipped with the latest skills and knowledge today’s employers are looking for. 
 
5.) Our Instructors Are Next Level 
Our instructors genuinely care about your success. They lecture and take questions in real-time. Instead of giving you the answer, they will guide you in the right direction until you understand it yourself. They are all responsive and engaging, with a commitment to your success and a mission of empowering life change. 
At other boot camps, you won’t find the same quality of instructors with industry experience, subject matter expertise, and live interactive lectures and lab. Even at the college level, professors often don’t provide individualized attention, hands-on learning, or accountability. Our instructors make a difference in your learning journey. 
If having awesome instructors wasn’t enough, we also have a dedicated Student Experience team. This team is designed to work in collaboration with our instructors to ensure your success. Need a one-on-one session with your instructor? They can help with that. Need help just managing your time better? They can help with that too! These are passionate education professionals who want to empower you to get to that finish line we call graduation! 
Read more about why you need the best coding Bootcamp instructors here. 
 
Wrapping Up
As we mentioned, as more companies adopt cloud technologies the demand for cloud experts will only continue to grow. Take this as a sign to launch your career in tech and attend our brand new Cloud Administration program today. 
Our next class starts June 16th so don’t wait to get started and fill out this form here for our admissions team to get in touch with you. You can beat the heat this summer, learn new skills, and launch your career in the cloud! We can’t wait to hear from you!"
What Jobs Can You Get After a Coding Bootcamp? Part 2: Cloud Administration,"Have you been considering a career in Cloud Administration, but have no idea what your job title or potential salary could be? Continue reading below to find out!
In this mini-series, we will take each of our programs here at Codeup: Data Science, Web Development, and Cloud Administration, and outline respectively potential job titles, as well as entry-level salaries.* Let’s discuss Cloud Administration.
Program Overview
At Codeup, we offer a 15-week Cloud Administration program, which was derived from our previous two programs: Systems Engineering and Cyber Cloud. We combined the best of both and blended hands-on practical knowledge with skilled instructors to create the Cloud Administration program.
Upon completing this program, you’ll have the opportunity to take on two exams for certifications: Amazon Web Services (AWS) Cloud Practitioner and AWS Solutions Architect Associate. 
Potential Jobs
According to A Cloud Guru, with an AWS Certification you’ll be equipped with the knowledge and experience to secure a job as the following:
1. Cloud Architect
As a Cloud Architect, you will double as an IT specialist responsible for your organization’s cloud infrastructure. This includes system monitoring, computing strategy, planning, building and deployment. An entry-level Cloud Architect can make an estimated $93,892 annually according to Glassdoor. 
2. Cloud Developer
A Cloud Developer’s main duties align with a software developer’s. The differentiating factor is a Cloud Developer operates virtually with cloud computing technology. This may include the design, analysis and maintenance of a company’s cloud infrastructure. An entry-level Cloud Developer can make an estimated $89,652 annually according to Glassdoor. 
3. Cloud Systems Administrator
A Cloud Systems Administrator can be expected to provide insight on cloud systems, specifically working with IT to provide assistance and resolve operational issues. An entry-level Cloud Systems Administrator can make an estimated $64,805 annually according to Glassdoor.
Honorable Mention
A few additional roles to consider with AWS Certification include: 

Cloud DevOps Engineer- Estimated Entry-Level Salary $88,563
Cloud Security Engineer- Estimated Entry-Level Salary $85,111
Cloud Data Architect- Estimated Entry-Level Salary $91,598
Cloud Consultant- Estimated Entry-Level Salary $72,474

Interested in the other parts of this mini-series? Check them out below!

Part 1: Data Science
Part 3: Web Development (Coming Soon!) 

*Disclaimer: All information presented in this article is by no means guaranteed by completing a Codeup program. Salaries and duties vary based on factors such as company, location, and experience. These salaries are estimates based on San Antonio, TX data, and these duties are general and may not be exact for every position."
What Jobs Can You Get After a Coding Bootcamp? Part 1: Data Science,"If you are interested in embarking on a career in tech, you’re probably wondering what your new job title could be, and even what your salary might look like.* In this mini-series, we will take each of our programs here at Codeup: Data Science, Web Development, and Cloud Administration, and outline respectively potential job titles, as well as entry-level salaries. Today we will be diving into our Data Science program, with four potential job titles you could take on!
Program Overview 
During this 20-week program, you will have the opportunity to take your career to new heights with data science being one of the most needed jobs in tech. You’ll gather data, then clean it, explore it for trends, and apply machine learning models to make predictions.
Upon completing this program, you will know how to turn insights into actionable recommendations. You’ll be a huge asset to any company, having all the technical skills to become a data scientist with projects upon projects of experience under your belt. 
1. Data Scientist 
Essentially, a Data Scientist is responsible for analyzing how a business performs to ensure the business stays competitive and relevant. They review the data for deeper meaning and examine it for patterns in an effort to create solutions to business problems. According to Zip Recruiter, the average entry-level salary for a Data Scientist in Texas is $60,677.
2. Data Analyst
A Data Analyst finds ways to solve a business’ problems through raw data analysis. They are then responsible for sharing this information with management and stakeholders. According to Indeed, the average entry-level salary for a Data Analyst is $60,332.
3. Machine Learning Engineer 
A Machine Learning (ML) Engineer is usually on a Data Science team. They are responsible for artificial intelligence, and its functions as well as making predictions on other machine learning capabilities. They will create ML prototypes and models, then test and retrain where necessary. According to Salary.com, the average entry-level salary for a ML Engineer is $115,795.
4. Business Intelligence Analyst 
A Business Intelligence Analyst, also known as a BI Analyst is responsible for understanding computer programming languages. Their primary goal is to give accurate insight to decision-makers regarding the market, productivity, competition, and customer responses. According to Payscale, the average entry-level salary for a BI Analyst is $58,627.
We understand changing careers can be scary. If you chose Codeup, we will make sure you are plenty prepared to not only take on one of these roles but succeed in it. 
This program gives you more than a textbook and a bank of pre-recorded lectures. You get hands-on instruction from industry experts, along with the power to change your life. 
If you’re ready, apply today and let’s turn your dreams into reality and get your seat secured in our next Data Science cohort. 
 
*Disclaimer: All information presented in this article is by no means guaranteed by completing a Codeup program. Salaries and duties vary based on factors such as company, location, and experience. These salaries are estimates based on San Antonio, TX data, and these duties are general and may not be exact for every position."
In-Person Workshop: Learn to Code – JavaScript on 7/26,"Join us for our live in-person JavaScript crash course, where we will dig into one of the fastest-growing languages in the software development industry. It’s free and open to all – you don’t need to have any previous programming knowledge to participate. 
By the end of the presentation, you will:

Have a good understanding of what programming means
Know what JavaScript is and how it’s used
The best part: we will get our hands dirty writing some JavaScript. 

Don’t worry…we’ll walk you through every step. Come learn to code live with our very own instructor staff. Maybe this will be your jumpstart into an exciting and in-demand career…for FREE! 
Must be 18+ to participate. 
Parking is free on Tuesdays in downtown San Antonio."
In-Person Workshop: Learn to Code – Python on 7/19,"According to LinkedIn, the “#1 Most Promising Job” is data science! One of the major building blocks to data science is Python. Python is a programming language used to manipulate data, conduct analysis, and apply machine learning algorithms. If you’re curious to learn more, join this free virtual workshop! You will:

Learn the basics of Python from our very own Data Science instructors
Gain hands-on practice programming in Python, including syntax, data types, control structures, and functions
Get an introduction to the field of data science
Uplevel your skills live from the comfort of your own home.

Don’t worry — no prior experience is needed to participate. Save your seat quickly – our Python workshops are always in high demand! 

What you need:
1. Laptop (does not matter what kind). You need to be able to access WiFi and run an internet browser.
2. To RSVP!

AGE REQUIREMENT: 17+ 

Parking: 
You can park across the street in the parking garage, on the street, or anywhere else downtown. Parking is free on Tuesdays downtown."
Free JavaScript Workshop at Codeup Dallas on 6/28,"Event Info: 
Location – Codeup Dallas
Time – 6 pm 
Come Learn JavaScript
Join us for our live in-person JavaScript crash course, where we will dig into one of the fastest-growing languages in the software development industry. It’s free and open to all – you don’t need to have any previous programming knowledge to participate. 
By the end of the presentation, you will:

Have a good understanding of what programming means
Know what JavaScript is and how it’s used
The best part: we will get our hands dirty writing some JavaScript. 

Don’t worry…we’ll walk you through every step. Come learn to code live with our very own instructor staff. Maybe this will be your jumpstart into an exciting and in-demand career…for FREE! 
Parking
You can park inside our gragae at our building! Just take a ticket. Once our workshop is over you can stop by the security desk and they will validate your parking for you. 
Must be 18+ to participate."
Is Our Cloud Administration Program Right for You?,"Changing careers can be scary. The first thing you may be asking yourself is, “where do I begin?” If you are looking into a career in tech, but coding or statistics aren’t your thing, our brand new Cloud Administration program might be just for you!
What Exactly is Cloud Administration?
The future is in the cloud! As the new way of doing business, all kinds of companies need to build or interact with cloud products. These aren’t just high-tech solutions – they’re the core of everyday products like cloud-based gaming from Xbox, collaborative work tools from Google Drive, and even music streaming services from Spotify! A Cloud Administrator works with software developers to design, build, maintain, and optimize a cloud architecture to run software applications.
What Will You Learn?
Just like our Data Science and Web Development programs, the Cloud Administration program is considered a career accelerator. Unlike a traditional 4 year degree, you can complete our program in just 15 weeks! You will receive hands-on training in:

Networking fundamentals
Linux Operating System
Windows Operating System
Cloud and Computer Security
Amazon Web Services (AWS Cloud)

You’ll even earn two industry-recognized certifications as an AWS Cloud Practitioner and AWS Solutions Architect Associate, fully included in your tuition. You’ll learn how each technology works together, and how they are applied to real projects by starting simple, then progressively getting more complex as you add more tools to your toolbox. We’ll teach you to build infrastructure that enables software and data science products, manage cloud deployments, and optimize for cloud performance. 
As for instruction, we are dedicated to giving you the best. Your instructors are speaking from real industry experience, and are invested in every student’s success. They’re essentially your personal mentors providing on-the-ground support, making themselves accessible to you when you need them. 
Your Success
Not only will you be equipped with in-demand cloud skills, but you’ll also get professional development along the way, including help polishing your resume and LinkedIn, as well as access to our employer network. This program, with the support of our career coaches and placement team, can help you become a: 

Cloud Administrator
Cloud Architect
Cloud Engineer
Cloud Network Engineer
Cloud Security Engineer 

You’re not stuck in one lane when you come to Codeup. With our instructors, coaches, and placement team you can take what you learn and run with it. Cloud technology is improving every single day and this course can ensure you are at the forefront of helping build and maintain that technology. 
Codeup Payment Options
Financing your career transition can be a bit stressful, but we never want it to stop you from changing your career and applying. We have a dedicated Financial Aid and Enrollment team to walk you through every possible option to pay for your tuition here at Codeup. Whether you are using your VA benefits, grants, loans, scholarships, or self-paying, our team will work with you to ensure you receive all forms of financial aid for which you qualify. You can change your career regardless of your financial situation.
Want more information on our Cloud Administration program? Check our student reviews, and our blog on 5 Reasons We Think You Should Attend the Cloud Administration program. You can do more than dream of this life-changing career – you can LIVE IT!. Our application process is the first step to beginning your journey in Cloud Administration today!"
